"prodcodeid,""termfromemis"",""productname"",""drugsubstancename"",""bnfchapter"",""dmdid"""
"4454041000033111,""Perindopril arginine 5mg tablets"",""Perindopril arginine 5mg tablets"",""Perindopril arginine"",""2050501"",""13454411000001108"""
"4454141000033110,""Perindopril arginine 10mg tablets"",""Perindopril arginine 10mg tablets"",""Perindopril arginine"",""2050501"",""13454111000001103"""
"4454541000033118,""Perindopril arginine 5mg / Indapamide 1.25mg tablets"",""Perindopril arginine 5mg / Indapamide 1.25mg tablets"",""Indapamide/ Perindopril arginine"",""2050501"",""13454311000001101"""
"4805941000033114,""Ramipril 2.5mg/5ml oral suspension"",""Ramipril 2.5mg/5ml oral suspension"",""Ramipril"",""2050501"",""8720711000001102"""
"5008141000033111,""Captopril 10mg/5ml oral suspension"",""Captopril 10mg/5ml oral suspension"",""Captopril"",""2050501"",""8346811000001109"""
"5132041000033112,""Captopril 25mg/5ml oral suspension"",""Captopril 25mg/5ml oral suspension"",""Captopril"",""2050501"",""8348611000001106"""
"5401641000033118,""Captopril 15mg/5ml oral suspension"",""Captopril 15mg/5ml oral suspension"",""Captopril"",""2050501"",""8347411000001109"""
"5454041000033117,""Captopril 4mg capsules"",""Captopril 4mg capsules"",""Captopril"",""2050501"",""8791911000001104"""
"5568741000033113,""Lisinopril 40mg/5ml oral suspension"",""Lisinopril 40mg/5ml oral suspension"",""Lisinopril"",""2050501"",""20556011000001103"""
"5887841000033118,""Ramipril 10mg/5ml oral solution"",""Ramipril 10mg/5ml oral solution"",""Ramipril"",""2050501"",""8720411000001108"""
"5887941000033114,""Ramipril 10mg/5ml oral suspension"",""Ramipril 10mg/5ml oral suspension"",""Ramipril"",""2050501"",""8720511000001107"""
"5890241000033117,""Lisinopril 5mg/5ml oral solution"",""Lisinopril 5mg/5ml oral solution"",""Lisinopril"",""2050501"",""8622511000001100"""
"5890341000033110,""Ramipril 5mg/5ml oral solution"",""Ramipril 5mg/5ml oral solution"",""Ramipril"",""2050501"",""8720811000001105"""
"5890541000033115,""Ramipril 2.5mg/5ml oral solution"",""Ramipril 2.5mg/5ml oral solution"",""Ramipril"",""2050501"",""8720611000001106"""
"5898741000033114,""Captopril 12.5mg/5ml oral solution"",""Captopril 12.5mg/5ml oral solution"",""Captopril"",""2050501"",""8347111000001104"""
"5898841000033116,""Captopril 12.5mg/5ml oral suspension"",""Captopril 12.5mg/5ml oral suspension"",""Captopril"",""2050501"",""8347211000001105"""
"5898941000033112,""Captopril 6.25mg/5ml oral solution"",""Captopril 6.25mg/5ml oral solution"",""Captopril"",""2050501"",""8351911000001107"""
"5899041000033115,""Captopril 6.25mg/5ml oral suspension"",""Captopril 6.25mg/5ml oral suspension"",""Captopril"",""2050501"",""8352011000001100"""
"5967041000033117,""Enalapril 10mg/5ml oral solution"",""Enalapril 10mg/5ml oral solution"",""Enalapril maleate"",""2050501"",""8485711000001108"""
"5967141000033118,""Enalapril 10mg/5ml oral suspension"",""Enalapril 10mg/5ml oral suspension"",""Enalapril maleate"",""2050501"",""8485811000001100"""
"5971341000033117,""Lisinopril 2.5mg/5ml oral solution"",""Lisinopril 2.5mg/5ml oral solution"",""Lisinopril"",""2050501"",""8622111000001109"""
"5971441000033111,""Lisinopril 2.5mg/5ml oral suspension"",""Lisinopril 2.5mg/5ml oral suspension"",""Lisinopril"",""2050501"",""8622211000001103"""
"5971541000033112,""Lisinopril 7.5mg/5ml oral solution"",""Lisinopril 7.5mg/5ml oral solution"",""Lisinopril"",""2050501"",""8622811000001102"""
"5971641000033113,""Lisinopril 7.5mg/5ml oral suspension"",""Lisinopril 7.5mg/5ml oral suspension"",""Lisinopril"",""2050501"",""8622911000001107"""
"5992541000033111,""Enalapril 5mg/5ml oral solution"",""Enalapril 5mg/5ml oral solution"",""Enalapril maleate"",""2050501"",""8486911000001103"""
"5992641000033112,""Enalapril 5mg/5ml oral suspension"",""Enalapril 5mg/5ml oral suspension"",""Enalapril maleate"",""2050501"",""8487011000001104"""
"5998241000033112,""Ramipril 1.25mg/5ml oral solution"",""Ramipril 1.25mg/5ml oral solution"",""Ramipril"",""2050501"",""8720211000001109"""
"6001041000033115,""Captopril 5mg/5ml oral solution"",""Captopril 5mg/5ml oral solution"",""Captopril"",""2050501"",""8351611000001101"""
"6012441000033118,""Enalapril 1.25mg/5ml oral solution"",""Enalapril 1.25mg/5ml oral solution"",""Enalapril maleate"",""2050501"",""8485511000001103"""
"6012541000033117,""Enalapril 1.25mg/5ml oral suspension"",""Enalapril 1.25mg/5ml oral suspension"",""Enalapril maleate"",""2050501"",""8485611000001104"""
"6044541000033115,""Lisinopril 20mg/5ml oral suspension"",""Lisinopril 20mg/5ml oral suspension"",""Lisinopril"",""2050501"",""8622411000001104"""
"6044641000033119,""Lisinopril 20mg/5ml oral solution"",""Lisinopril 20mg/5ml oral solution"",""Lisinopril"",""2050501"",""8622311000001106"""
"6517041000033110,""Ramipril 2.5mg/5ml oral solution sugar free"",""Ramipril 2.5mg/5ml oral solution sugar free"",""Ramipril"",""2050501"",""19877111000001100"""
"8263341000033116,""Perindopril tosilate 2.5mg tablets"",""Perindopril tosilate 2.5mg tablets"",""Perindopril tosilate"",""2050501"",""21939911000001107"""
"8263441000033110,""Perindopril tosilate 5mg tablets"",""Perindopril tosilate 5mg tablets"",""Perindopril tosilate"",""2050501"",""21940111000001100"""
"8263541000033111,""Perindopril tosilate 10mg tablets"",""Perindopril tosilate 10mg tablets"",""Perindopril tosilate"",""2050501"",""21939811000001102"""
"8263641000033112,""Perindopril tosilate 5mg / Indapamide 1.25mg tablets"",""Perindopril tosilate 5mg / Indapamide 1.25mg tablets"",""Indapamide/ Perindopril tosilate"",""2050501"",""21940011000001101"""
"8275941000033110,""Perindopril erbumine 8mg/5ml oral solution"",""Perindopril erbumine 8mg/5ml oral solution"",""Perindopril erbumine"",""2050501"",""14057311000001102"""
"8276041000033117,""Perindopril erbumine 4mg/5ml oral suspension"",""Perindopril erbumine 4mg/5ml oral suspension"",""Perindopril erbumine"",""2050501"",""8671311000001103"""
"8276141000033118,""Perindopril erbumine 8mg/5ml oral suspension"",""Perindopril erbumine 8mg/5ml oral suspension"",""Perindopril erbumine"",""2050501"",""14057411000001109"""
"8869441000033119,""Perindopril erbumine 4mg/5ml oral solution"",""Perindopril erbumine 4mg/5ml oral solution"",""Perindopril erbumine"",""2050501"",""23471511000001106"""
"9105241000033114,""Perindopril erbumine 4mg / Amlodipine 5mg tablets"",""Perindopril erbumine 4mg / Amlodipine 5mg tablets"",""Amlodipine besilate/ Perindopril erbumine"",""2050501"",""23985011000001108"""
"9105341000033116,""Perindopril erbumine 4mg / Amlodipine 10mg tablets"",""Perindopril erbumine 4mg / Amlodipine 10mg tablets"",""Amlodipine besilate/ Perindopril erbumine"",""2050501"",""23984911000001108"""
"9105441000033110,""Perindopril erbumine 8mg / Amlodipine 5mg tablets"",""Perindopril erbumine 8mg / Amlodipine 5mg tablets"",""Amlodipine besilate/ Perindopril erbumine"",""2050501"",""23985211000001103"""
"9105541000033111,""Perindopril erbumine 8mg / Amlodipine 10mg tablets"",""Perindopril erbumine 8mg / Amlodipine 10mg tablets"",""Amlodipine besilate/ Perindopril erbumine"",""2050501"",""23985111000001109"""
"9108041000033111,""Captopril 25mg/5ml oral solution sugar free"",""Captopril 25mg/5ml oral solution sugar free"",""Captopril"",""2050501"",""23707311000001108"""
"9108141000033110,""Captopril 5mg/5ml oral solution sugar free"",""Captopril 5mg/5ml oral solution sugar free"",""Captopril"",""2050501"",""23707511000001102"""
"10645041000033114,""Lisinopril 5mg/5ml oral solution sugar free"",""Lisinopril 5mg/5ml oral solution sugar free"",""Lisinopril"",""2050501"",""30251811000001106"""
"451841000033110,""Diltiazem 120mg modified-release capsules"",""Diltiazem 120mg modified-release capsules"",""Diltiazem hydrochloride"",""2060200"",""39023211000001102"""
"451941000033119,""Diltiazem 180mg modified-release capsules"",""Diltiazem 180mg modified-release capsules"",""Diltiazem hydrochloride"",""2060200"",""39023311000001105"""
"452041000033113,""Diltiazem 300mg modified-release capsules"",""Diltiazem 300mg modified-release capsules"",""Diltiazem hydrochloride"",""2060200"",""39023611000001100"""
"452141000033112,""Diltiazem 90mg modified-release capsules"",""Diltiazem 90mg modified-release capsules"",""Diltiazem hydrochloride"",""2060200"",""39023111000001108"""
"452941000033114,""Diltiazem 60mg modified-release capsules"",""Diltiazem 60mg modified-release capsules"",""Diltiazem hydrochloride"",""2060200"",""39023011000001107"""
"453741000033118,""Diltiazem 240mg modified-release capsules"",""Diltiazem 240mg modified-release capsules"",""Diltiazem hydrochloride"",""2060200"",""39023511000001104"""
"453941000033115,""Diltiazem 200mg modified-release capsules"",""Diltiazem 200mg modified-release capsules"",""Diltiazem hydrochloride"",""2060200"",""39023411000001103"""
"454041000033118,""Diltiazem 60mg modified-release tablets"",""Diltiazem 60mg modified-release tablets"",""Diltiazem hydrochloride"",""2060200"",""39023811000001101"""
"458841000033115,""Diltiazem 90mg modified-release tablets"",""Diltiazem 90mg modified-release tablets"",""Diltiazem hydrochloride"",""2060200"",""39023911000001106"""
"459641000033113,""Diltiazem 120mg modified-release tablets"",""Diltiazem 120mg modified-release tablets"",""Diltiazem hydrochloride"",""2060200"",""39024011000001109"""
"568041000033111,""Felodipine 2.5mg modified-release tablets"",""Felodipine 2.5mg modified-release tablets"",""Felodipine"",""2060200"",""39020311000001104"""
"569041000033115,""Felodipine 10mg modified-release tablets"",""Felodipine 10mg modified-release tablets"",""Felodipine"",""2060200"",""39020511000001105"""
"569141000033116,""Felodipine 5mg modified-release tablets"",""Felodipine 5mg modified-release tablets"",""Felodipine"",""2060200"",""39020611000001109"""
"784641000033112,""Isradipine 2.5mg tablets"",""Isradipine 2.5mg tablets"",""Isradipine"",""2060200"",""319280009"""
"817541000033119,""Lacidipine 2mg tablets"",""Lacidipine 2mg tablets"",""Lacidipine"",""2060200"",""319300008"""
"817641000033118,""Lacidipine 4mg tablets"",""Lacidipine 4mg tablets"",""Lacidipine"",""2060200"",""319301007"""
"825941000033112,""Lercanidipine 10mg tablets"",""Lercanidipine 10mg tablets"",""Lercanidipine hydrochloride"",""2060200"",""319316005"""
"967141000033119,""Nicardipine 30mg capsules"",""Nicardipine 30mg capsules"",""Nicardipine hydrochloride"",""2060200"",""319218009"""
"967241000033114,""Nifedipine 10mg capsules"",""Nifedipine 10mg capsules"",""Nifedipine"",""2060200"",""319223009"""
"967341000033116,""Nifedipine 5mg capsules"",""Nifedipine 5mg capsules"",""Nifedipine"",""2060200"",""319222004"""
"967741000033115,""Nicardipine 20mg capsules"",""Nicardipine 20mg capsules"",""Nicardipine hydrochloride"",""2060200"",""319217004"""
"970741000033110,""Nimodipine 10mg/50ml solution for infusion vials"",""Nimodipine 10mg/50ml solution for infusion vials"",""Nimodipine"",""2060200"",""36031711000001104"""
"970941000033113,""Nifedipine 20mg modified-release tablets"",""Nifedipine 20mg modified-release tablets"",""Nifedipine"",""2060200"",""39022811000001109"""
"971141000033116,""Nifedipine 10mg modified-release capsules"",""Nifedipine 10mg modified-release capsules"",""Nifedipine"",""2060200"",""39022911000001104"""
"971241000033111,""Nifedipine 30mg modified-release tablets"",""Nifedipine 30mg modified-release tablets"",""Nifedipine"",""2060200"",""39111711000001105"""
"971341000033118,""Nifedipine 60mg modified-release tablets"",""Nifedipine 60mg modified-release tablets"",""Nifedipine"",""2060200"",""39022611000001105"""
"971441000033112,""Nicardipine 30mg modified-release capsules"",""Nicardipine 30mg modified-release capsules"",""Nicardipine hydrochloride"",""2060200"",""39021711000001108"""
"971541000033113,""Nicardipine 45mg modified-release capsules"",""Nicardipine 45mg modified-release capsules"",""Nicardipine hydrochloride"",""2060200"",""39021811000001100"""
"971841000033110,""Nifedipine 10mg modified-release tablets"",""Nifedipine 10mg modified-release tablets"",""Nifedipine"",""2060200"",""39022711000001101"""
"972141000033112,""Nisoldipine 10mg modified-release tablets"",""Nisoldipine 10mg modified-release tablets"",""Nisoldipine"",""2060200"",""36031811000001107"""
"972241000033117,""Nisoldipine 20mg modified-release tablets"",""Nisoldipine 20mg modified-release tablets"",""Nisoldipine"",""2060200"",""36031911000001102"""
"972341000033110,""Nisoldipine 30mg modified-release tablets"",""Nisoldipine 30mg modified-release tablets"",""Nisoldipine"",""2060200"",""36032011000001109"""
"972441000033116,""Nifedipine 40mg modified-release tablets"",""Nifedipine 40mg modified-release tablets"",""Nifedipine"",""2060200"",""39107611000001108"""
"974141000033119,""Nifedipine 20mg modified-release capsules"",""Nifedipine 20mg modified-release capsules"",""Nifedipine"",""2060200"",""39022511000001106"""
"977441000033119,""Nimodipine 30mg tablets"",""Nimodipine 30mg tablets"",""Nimodipine"",""2060200"",""323273000"""
"1509041000033119,""Verapamil 120mg modified-release tablets"",""Verapamil 120mg modified-release tablets"",""Verapamil hydrochloride"",""2060200"",""35367911000001103"""
"1509141000033115,""Verapamil 240mg modified-release tablets"",""Verapamil 240mg modified-release tablets"",""Verapamil hydrochloride"",""2060200"",""38750211000001107"""
"1509841000033114,""Verapamil 40mg/5ml oral solution sugar free"",""Verapamil 40mg/5ml oral solution sugar free"",""Verapamil hydrochloride"",""2060200"",""4139411000001106"""
"1511141000033118,""Verapamil 120mg modified-release capsules"",""Verapamil 120mg modified-release capsules"",""Verapamil hydrochloride"",""2060200"",""36565011000001105"""
"1511241000033113,""Verapamil 180mg modified-release capsules"",""Verapamil 180mg modified-release capsules"",""Verapamil hydrochloride"",""2060200"",""36149411000001103"""
"1511341000033115,""Verapamil 240mg modified-release capsules"",""Verapamil 240mg modified-release capsules"",""Verapamil hydrochloride"",""2060200"",""39021011000001106"""
"1512941000033111,""Verapamil 120mg tablets"",""Verapamil 120mg tablets"",""Verapamil hydrochloride"",""2060200"",""318206008"""
"1513141000033119,""Verapamil 160mg tablets"",""Verapamil 160mg tablets"",""Verapamil hydrochloride"",""2060200"",""318248001"""
"1513241000033114,""Verapamil 40mg tablets"",""Verapamil 40mg tablets"",""Verapamil hydrochloride"",""2060200"",""318204006"""
"1513341000033116,""Verapamil 80mg tablets"",""Verapamil 80mg tablets"",""Verapamil hydrochloride"",""2060200"",""318205007"""
"1778741000033118,""Nifedipine 30mg modified-release capsules"",""Nifedipine 30mg modified-release capsules"",""Nifedipine"",""2060200"",""39107511000001109"""
"1778841000033111,""Nifedipine 60mg modified-release capsules"",""Nifedipine 60mg modified-release capsules"",""Nifedipine"",""2060200"",""38896511000001101"""
"1800341000033113,""Diltiazem 360mg modified-release capsules"",""Diltiazem 360mg modified-release capsules"",""Diltiazem hydrochloride"",""2060200"",""39023711000001109"""
"2639341000033117,""Nifedipine 20mg/ml oral drops"",""Nifedipine 20mg/ml oral drops"",""Nifedipine"",""2060200"",""9096811000001100"""
"3038041000033111,""Amlodipine 5mg tablets"",""Amlodipine 5mg tablets"",""Amlodipine"",""2060200"",""39732011000001102"""
"3038141000033110,""Amlodipine 10mg tablets"",""Amlodipine 10mg tablets"",""Amlodipine"",""2060200"",""39731911000001109"""
"3908741000033114,""Lercanidipine 20mg tablets"",""Lercanidipine 20mg tablets"",""Lercanidipine hydrochloride"",""2060200"",""10225911000001102"""
"3963741000033115,""Amlodipine 10mg/5ml oral suspension"",""Amlodipine 10mg/5ml oral suspension"",""Amlodipine"",""2060200"",""8278111000001105"""
"4021441000033114,""Amlodipine 5mg / Valsartan 80mg tablets"",""Amlodipine 5mg / Valsartan 80mg tablets"",""Amlodipine besilate/ Valsartan"",""2060200"",""11160311000001109"""
"4021541000033110,""Amlodipine 5mg / Valsartan 160mg tablets"",""Amlodipine 5mg / Valsartan 160mg tablets"",""Amlodipine besilate/ Valsartan"",""2060200"",""11160211000001101"""
"4021641000033111,""Amlodipine 10mg / Valsartan 160mg tablets"",""Amlodipine 10mg / Valsartan 160mg tablets"",""Amlodipine besilate/ Valsartan"",""2060200"",""11160111000001107"""
"4260341000033110,""Verapamil 5mg/2ml solution for injection ampoules"",""Verapamil 5mg/2ml solution for injection ampoules"",""Verapamil hydrochloride"",""2060200"",""36149611000001100"""
"4508041000033119,""Amlodipine 5mg/5ml oral solution sugar free"",""Amlodipine 5mg/5ml oral solution sugar free"",""Amlodipine"",""2060200"",""29826311000001101"""
"4897741000033118,""Amlodipine 1.5mg/5ml oral suspension"",""Amlodipine 1.5mg/5ml oral suspension"",""Amlodipine"",""2060200"",""15773511000001108"""
"4953741000033114,""Diltiazem 60mg/5ml oral suspension"",""Diltiazem 60mg/5ml oral suspension"",""Diltiazem hydrochloride"",""2060200"",""8456911000001108"""
"5056241000033112,""Nifedipine 5mg/5ml oral suspension"",""Nifedipine 5mg/5ml oral suspension"",""Nifedipine"",""2060200"",""8670311000001108"""
"5402541000033112,""Nifedipine 2.5mg/5ml oral suspension"",""Nifedipine 2.5mg/5ml oral suspension"",""Nifedipine"",""2060200"",""12303311000001109"""
"5490241000033113,""Amlodipine 5mg/5ml oral solution"",""Amlodipine 5mg/5ml oral solution"",""Amlodipine"",""2060200"",""13892511000001100"""
"5888741000033110,""Amlodipine 5mg/5ml oral suspension"",""Amlodipine 5mg/5ml oral suspension"",""Amlodipine"",""2060200"",""8278311000001107"""
"5973741000033117,""Nifedipine 10mg/5ml oral suspension"",""Nifedipine 10mg/5ml oral suspension"",""Nifedipine"",""2060200"",""8670111000001106"""
"5991941000033112,""Diltiazem 60mg/5ml oral solution"",""Diltiazem 60mg/5ml oral solution"",""Diltiazem hydrochloride"",""2060200"",""8457011000001107"""
"7740641000033112,""Amlodipine 10mg/5ml oral solution"",""Amlodipine 10mg/5ml oral solution"",""Amlodipine"",""2060200"",""20478011000001105"""
"7747541000033112,""Trimetazidine 20mg tablets"",""Trimetazidine 20mg tablets"",""Trimetazidine dihydrochloride"",""2060200"",""15243911000001109"""
"10387441000033111,""Amlodipine 10mg/5ml oral solution sugar free"",""Amlodipine 10mg/5ml oral solution sugar free"",""Amlodipine"",""2060200"",""29826211000001109"""
"10495841000033113,""Trimetazidine 35mg modified-release tablets"",""Trimetazidine 35mg modified-release tablets"",""Trimetazidine dihydrochloride"",""2060200"",""20456111000001105"""
"12682241000033110,""Amlodipine 5mg/5ml oral suspension sugar free"",""Amlodipine 5mg/5ml oral suspension sugar free"",""Amlodipine"",""2060200"",""36237311000001101"""
"13344441000033112,""Lacidipine 6mg tablets"",""Lacidipine 6mg tablets"",""Lacidipine"",""2060200"",""38019311000001102"""
"13422241000033114,""Amlodipine 2.5mg tablets"",""Amlodipine 2.5mg tablets"",""Amlodipine"",""2060200"",""429828006"""
"74641000033118,""Aprinox 5mg tablets (Amdipharm Plc)"",""Aprinox 5mg tablets"",""Bendroflumethiazide"",""2020100"",""120911000001103"""
"742841000033114,""Hygroton 50mg tablets (Alliance Pharmaceuticals Ltd)"",""Hygroton 50mg tablets"",""Chlortalidone"",""2020100"",""285911000001101"""
"955341000033117,""Natrilix 2.5mg tablets (Servier Laboratories Ltd)"",""Natrilix 2.5mg tablets"",""Indapamide hemihydrate"",""2020100"",""321811000001109"""
"470741000033113,""Diurexan 20mg tablets (Mylan)"",""Diurexan 20mg tablets"",""Xipamide"",""2020100"",""348911000001105"""
"769741000033118,""Nindaxa 2.5 tablets (Ashbourne Pharmaceuticals Ltd)"",""Nindaxa 2.5 tablets"",""Indapamide hemihydrate"",""2020100"",""424311000001108"""
"953141000033119,""Natrilix SR 1.5mg tablets (Servier Laboratories Ltd)"",""Natrilix SR 1.5mg tablets"",""Indapamide"",""2020100"",""456611000001108"""
"955441000033111,""Navidrex 500microgram tablets (Advanz Pharma)"",""Navidrex 500microgram tablets"",""Cyclopenthiazide"",""2020100"",""487811000001100"""
"74541000033119,""Aprinox 2.5mg tablets (Advanz Pharma)"",""Aprinox 2.5mg tablets"",""Bendroflumethiazide"",""2020100"",""672111000001100"""
"965341000033114,""Neo-Naclex 5mg tablets (Mercury Pharma Group Ltd)"",""Neo-Naclex 5mg tablets"",""Bendroflumethiazide"",""2020100"",""817911000001100"""
"4571241000033110,""Ethibide XL 1.5mg tablets (Genus Pharmaceuticals Ltd)"",""Ethibide XL 1.5mg tablets"",""Indapamide"",""2020100"",""13824811000001102"""
"4656741000033119,""Tensaid XL 1.5mg tablets (Mylan)"",""Tensaid XL 1.5mg tablets"",""Indapamide"",""2020100"",""14242211000001100"""
"1420741000033114,""Tenormin 5mg/10ml solution for injection ampoules (AstraZeneca UK Ltd)"",""Tenormin 5mg/10ml solution for injection ampoules"",""Atenolol"",""2040000"",""9111000001107"""
"1952541000033117,""Cardicor 5mg tablets (Merck Serono Ltd)"",""Cardicor 5mg tablets"",""Bisoprolol fumarate"",""2040000"",""19711000001106"""
"2267541000033111,""Syprol 10mg/5ml oral solution (Rosemont Pharmaceuticals Ltd)"",""Syprol 10mg/5ml oral solution"",""Propranolol hydrochloride"",""2040000"",""28711000001109"""
"1469341000033110,""Trandate 50mg tablets (RPH Pharmaceuticals AB)"",""Trandate 50mg tablets"",""Labetalol hydrochloride"",""2040000"",""42611000001104"""
"1469141000033112,""Trandate 200mg tablets (RPH Pharmaceuticals AB)"",""Trandate 200mg tablets"",""Labetalol hydrochloride"",""2040000"",""77311000001105"""
"1132741000033111,""Prestim tablets (Meda Pharmaceuticals Ltd)"",""Prestim tablets"",""Bendroflumethiazide/ Timolol maleate"",""2040000"",""98411000001109"""
"90741000033113,""Atenix Co 100 tablets (Ashbourne Pharmaceuticals Ltd)"",""Atenix Co 100 tablets"",""Atenolol/ Chlortalidone"",""2040000"",""101411000001108"""
"144141000033115,""Beta-Cardone 80mg tablets (Focus Pharmaceuticals Ltd)"",""Beta-Cardone 80mg tablets"",""Sotalol hydrochloride"",""2040000"",""104011000001101"""
"850941000033119,""Lopresor 50mg tablets (Recordati Pharmaceuticals Ltd)"",""Lopresor 50mg tablets"",""Metoprolol tartrate"",""2040000"",""113511000001109"""
"1426441000033116,""Tenormin 100mg tablets (AstraZeneca UK Ltd)"",""Tenormin 100mg tablets"",""Atenolol"",""2040000"",""162411000001102"""
"90541000033117,""Atenix 100 tablets (Ashbourne Pharmaceuticals Ltd)"",""Atenix 100 tablets"",""Atenolol"",""2040000"",""181611000001107"""
"793741000033117,""Kalten capsules (M & A Pharmachem Ltd)"",""Kalten capsules"",""Amiloride hydrochloride/ Atenolol/ Hydrochlorothiazide"",""2040000"",""237011000001100"""
"2929141000033117,""Slo-Pro 160mg capsules (Mylan)"",""Slo-Pro 160mg capsules"",""Propranolol hydrochloride"",""2040000"",""240711000001100"""
"92541000033118,""Atenix 50 tablets (Ashbourne Pharmaceuticals Ltd)"",""Atenix 50 tablets"",""Atenolol"",""2040000"",""271911000001106"""
"1426341000033110,""Tenoretic 100mg/25mg tablets (AstraZeneca UK Ltd)"",""Tenoretic 100mg/25mg tablets"",""Atenolol/ Chlortalidone"",""2040000"",""288711000001105"""
"2267441000033110,""Syprol 5mg/5ml oral solution (Rosemont Pharmaceuticals Ltd)"",""Syprol 5mg/5ml oral solution"",""Propranolol hydrochloride"",""2040000"",""295911000001102"""
"1278241000033118,""Sectral 400mg tablets (Sanofi)"",""Sectral 400mg tablets"",""Acebutolol hydrochloride"",""2040000"",""298111000001105"""
"1428741000033112,""Tenormin 25mg tablets (AstraZeneca UK Ltd)"",""Tenormin 25mg tablets"",""Atenolol"",""2040000"",""317111000001101"""
"1424541000033110,""Tenormin 25mg/5ml syrup (AstraZeneca UK Ltd)"",""Tenormin 25mg/5ml syrup"",""Atenolol"",""2040000"",""373311000001100"""
"1952641000033116,""Cardicor 7.5mg tablets (Merck Serono Ltd)"",""Cardicor 7.5mg tablets"",""Bisoprolol fumarate"",""2040000"",""404511000001105"""
"2638141000033114,""Bipranix 10mg tablets (Ashbourne Pharmaceuticals Ltd)"",""Bipranix 10mg tablets"",""Bisoprolol fumarate"",""2040000"",""405411000001107"""
"1426541000033115,""Tenormin LS 50mg tablets (AstraZeneca UK Ltd)"",""Tenormin LS 50mg tablets"",""Atenolol"",""2040000"",""423911000001107"""
"1366041000033112,""Sotacor 160mg tablets (Bristol-Myers Squibb Pharmaceuticals Ltd)"",""Sotacor 160mg tablets"",""Sotalol hydrochloride"",""2040000"",""446211000001108"""
"143941000033116,""Beta-Cardone 200mg tablets (Advanz Pharma)"",""Beta-Cardone 200mg tablets"",""Sotalol hydrochloride"",""2040000"",""447111000001104"""
"1366141000033111,""Sotacor 80mg tablets (Neon Healthcare Ltd)"",""Sotacor 80mg tablets"",""Sotalol hydrochloride"",""2040000"",""463811000001109"""
"1347441000033114,""Slow-Trasicor 160mg tablets (Advanz Pharma)"",""Slow-Trasicor 160mg tablets"",""Oxprenolol hydrochloride"",""2040000"",""473011000001107"""
"233241000033114,""Celectol 400mg tablets (Neon Healthcare Ltd)"",""Celectol 400mg tablets"",""Celiprolol hydrochloride"",""2040000"",""479211000001100"""
"91841000033113,""Atenix 25 tablets (Ashbourne Pharmaceuticals Ltd)"",""Atenix 25 tablets"",""Atenolol"",""2040000"",""482511000001101"""
"513941000033117,""Emcor LS 5mg tablets (Merck Serono Ltd)"",""Emcor LS 5mg tablets"",""Bisoprolol fumarate"",""2040000"",""483911000001101"""
"2638041000033110,""Bipranix 5mg tablets (Ashbourne Pharmaceuticals Ltd)"",""Bipranix 5mg tablets"",""Bisoprolol fumarate"",""2040000"",""501211000001103"""
"133141000033117,""Beta-Prograne 160mg modified-release capsules (Tillomed Laboratories Ltd)"",""Beta-Prograne 160mg modified-release capsules"",""Propranolol hydrochloride"",""2040000"",""510611000001108"""
"2802041000033113,""Soloc 10mg tablets (Mercury Pharma Group Ltd)"",""Soloc 10mg tablets"",""Bisoprolol fumarate"",""2040000"",""544711000001103"""
"124241000033112,""Bedranol SR 160mg capsules (Sandoz Ltd)"",""Bedranol SR 160mg capsules"",""Propranolol hydrochloride"",""2040000"",""549611000001106"""
"2711841000033114,""Bedranol SR 80mg capsules (Sandoz Ltd)"",""Bedranol SR 80mg capsules"",""Propranolol hydrochloride"",""2040000"",""573711000001104"""
"1952341000033112,""Cardicor 2.5mg tablets (Merck Serono Ltd)"",""Cardicor 2.5mg tablets"",""Bisoprolol fumarate"",""2040000"",""628711000001102"""
"92441000033119,""Atenix Co 50 tablets (Ashbourne Pharmaceuticals Ltd)"",""Atenix Co 50 tablets"",""Atenolol/ Chlortalidone"",""2040000"",""629011000001109"""
"1268141000033119,""Sectral 100mg capsules (Sanofi)"",""Sectral 100mg capsules"",""Acebutolol hydrochloride"",""2040000"",""632811000001105"""
"1469041000033113,""Trandate 100mg tablets (RPH Pharmaceuticals AB)"",""Trandate 100mg tablets"",""Labetalol hydrochloride"",""2040000"",""639011000001106"""
"1469241000033117,""Trandate 400mg tablets (RPH Pharmaceuticals AB)"",""Trandate 400mg tablets"",""Labetalol hydrochloride"",""2040000"",""674711000001109"""
"1358541000033113,""Sotacor 40mg/4ml solution for injection ampoules (Bristol-Myers Squibb Pharmaceuticals Ltd)"",""Sotacor 40mg/4ml solution for injection ampoules"",""Sotalol hydrochloride"",""2040000"",""694711000001100"""
"1952241000033119,""Cardicor 1.25mg tablets (Merck Serono Ltd)"",""Cardicor 1.25mg tablets"",""Bisoprolol fumarate"",""2040000"",""712511000001106"""
"660741000033115,""Half Beta-Prograne 80mg modified-release capsules (Tillomed Laboratories Ltd)"",""Half Beta-Prograne 80mg modified-release capsules"",""Propranolol hydrochloride"",""2040000"",""724111000001103"""
"1796141000033112,""Nebilet 5mg tablets (A. Menarini Farmaceutica Internazionale SRL)"",""Nebilet 5mg tablets"",""Nebivolol hydrochloride"",""2040000"",""726011000001109"""
"850841000033110,""Lopresor 100mg tablets (Recordati Pharmaceuticals Ltd)"",""Lopresor 100mg tablets"",""Metoprolol tartrate"",""2040000"",""756911000001107"""
